Event Title,Event Body,Event Date,Event Start Time,Event End Time,Header Skin,Header Sub Title,Listing Option Address,Listing Visibility Duration,Listing Featured,Listing Email,Listing Mobile,Listing Website,Facebook,Twitter,Instgram,Youtube,Related Posts,Listing Button Text,Listing Button URL,Background Image,Location,Latitude,Longitude,Calendar Tag,Categories,Featured Image,Gallery Image,Min Height Hero Image,Disable Hero Image,Region,Alt Tag,Start Time,End Time,Qualification2
Teesside University,"Experience a clearing open day at Teesside University, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-18,10:00,15:00,transparent,Clearing Fair,East Park Terrace  Hampshire SO14 0YN,364,off,enquiries@tees.ac.uk,+44 1642 342275,www.tees.ac.uk,,,,,on,18 Aug - Booking Info,http://www.tees.ac.uk/clearing/,3063,Middlesbrough,54.5707555,-1.235222,August,University,university1.jpg,,200,off,Yorkshire and Humberside,Teesside University,2018-08-18 10:00:00:000000,2018-08-18 15:00:00:000000,"Undergraduate, Clearing"
Solent University,"Experience a clearing open day at Solent University, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-18,10:00,14:00,transparent,Clearing open day,Cottingham Road  England HU6 7RX,364,off,ask@solent.ac.uk,+44 23 8201 3039,www.solent.ac.uk,,,,,on,18 Aug - Booking Info,http://www.solent.ac.uk/open-days,3064,Southampton,50.907843,-1.400295,August,University,university2.jpg,,200,off,South East England,Solent University,2018-08-18 10:00:00:000000,2018-08-18 14:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-17,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,17 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3065,Hull,53.7737034,-0.3680781,August,University,university3.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-17 10:00:00:000000,2018-08-17 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-18,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,18 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3066,Hull,53.7737034,-0.3680781,August,University,university4.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-18 10:00:00:000000,2018-08-18 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-19,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,19 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3067,Hull,53.7737034,-0.3680781,August,University,university5.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-19 10:00:00:000000,2018-08-19 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-20,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,20 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3068,Hull,53.7737034,-0.3680781,August,University,university6.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-20 10:00:00:000000,2018-08-20 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-21,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,21 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3069,Hull,53.7737034,-0.3680781,August,University,university7.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-21 10:00:00:000000,2018-08-21 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-22,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,22 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3070,Hull,53.7737034,-0.3680781,August,University,university8.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-22 10:00:00:000000,2018-08-22 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-23,10:00,15:00,transparent,Clearing Open Day Visit,Cottingham Road  England HU6 7RX,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,23 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3071,Hull,53.7737034,-0.3680781,August,University,university9.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-23 10:00:00:000000,2018-08-23 15:00:00:000000,"Undergraduate, Clearing"
The University of Hull,"Experience a clearing open day at The University of Hull, where you can review their last minute clearing spaces and opportunities! Follow the link and find out how you can book a place. Some of the clearing events offer walk in visits and booking is not necessary. Please check their website.",2018-08-24,10:00,15:00,transparent,Clearing Open Day Visit,The University of Winchester  Hampshire SO22 4NR,364,off,opendays@hull.ac.uk,+44 1482466500,www.hull.ac.uk,,,,,on,24 Aug - Booking Info,https://www.hull.ac.uk/clearing/clearing-visit-days.aspx,3072,Hull,53.7737034,-0.3680781,August,University,university10.jpg,,200,off,Yorkshire and Humberside,The University of Hull,2018-08-24 10:00:00:000000,2018-08-24 15:00:00:000000,"Undergraduate, Clearing"
