id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Locations,Tags,Categories,Dates,Addresses,_vc_post_settings,_wp_page_template,_qibla_mb_event_dates_multidatespicker,_qibla_mb_event_start_time_timepicker,_qibla_mb_event_end_time_timepicker,_qibla_mb_header_skin,_qibla_mb_sub_title,_qibla_mb_listing_expiration,_qibla_mb_is_featured,_qibla_mb_business_email,_qibla_mb_business_phone,_qibla_mb_site_url,_qibla_mb_social_facebook,_qibla_mb_social_twitter,_qibla_mb_social_instagram,_qibla_mb_social_linkedin,_qibla_mb_post_show_related,_qibla_mb_button_text,_qibla_mb_button_url,_qibla_mb_jumbotron_background_image,_qibla_mb_map_location_lat,_qibla_mb_map_location_lng,_qibla_mb_jumbotron_min_height,_qibla_mb_sidebar_position,_qibla_mb_jumbotron_disable,_qibla_mb_map_location_searcher,_qibla_mb_map_location,geolocation_formatted_address,_qibla_mb_event_dates_multidatespicker_start,_qibla_mb_event_dates_multidatespicker_end,region,_qibla_mb_map_location_all_data,_qibla_mb_event_dates_start_for_orderby,_last_viewed,_yst_prominent_words_version,_wp_old_slug,_yoast_wpseo_primary_event_locations,_yoast_wpseo_primary_event_categories,_heateor_sss_meta,_qibla_mb_hide_breadcrumb,_qibla_mb_social_tripadvisor,_qibla_mb_images,_qibla_mb_target_link,_yoast_wpseo_content_score,_yoast_wpseo_focuskeywords,onesignal_meta_box_present,onesignal_send_notification,slide_template,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status"
25975,"Robert Gordon University","Experience an open day at Robert Gordon University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/robert-gordon-university/,https://www.odays.co/wp-content/uploads/2018/05/university1.jpg,university1.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university1.jpg,3063,university1,,,"Suffolk One - Open Evening",,,,,,,,,"Aberdeen City",Undergraduate|October|Scotland,University,2018-10-06,"Schoolhill Aberdeen AB10 1FR","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-10-06,1532426400,1532440800,transparent,Undergraduate,364,off,admissions@rgu.ac.uk,"+44 1224 262000",http://www.rgu.ac.uk,,,,,on,"6 Oct - Booking Info",https://www.rgu.ac.uk/study/visit-us/undergraduate-events/open-days,3063,57.1479381,-2.1014242,200,right,off,"Schoolhill  Aberdeen AB10 1FR","57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR","Schoolhill  Aberdeen AB10 1FR",2018-10-06,2018-10-06,Scotland,"57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR",201810061000,"2018-08-24 09:05:48",,,,,,,,,,,,,,,publish,7,robert-gordon-university,,default,0,0,closed,open
25976,"Robert Gordon University","Experience an open day at Robert Gordon University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/robert-gordon-university-2/,https://www.odays.co/wp-content/uploads/2018/05/university2.jpg,university2.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university2.jpg,3064,university2,,,"Suffolk One - Open Evening",,,,,,,,,"Aberdeen City",Undergraduate|November|Scotland,University,2018-11-03,"Schoolhill Aberdeen AB10 1FR","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-11-03,1532426400,1532440800,transparent,Undergraduate,364,off,admissions@rgu.ac.uk,"+44 1224 262000",http://www.rgu.ac.uk,,,,,on,"3 Nov - Booking Info",https://www.rgu.ac.uk/study/visit-us/undergraduate-events/open-days,3064,57.1479381,-2.1014242,200,right,off,"Schoolhill  Aberdeen AB10 1FR","57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR","Schoolhill  Aberdeen AB10 1FR",2018-11-03,2018-11-03,Scotland,"57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR",201811031000,"2018-08-24 08:50:33",,,,,,,,,,,,,,,publish,7,robert-gordon-university-2,,default,0,0,closed,open
25977,"Robert Gordon University","Experience an open day at Robert Gordon University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/robert-gordon-university-3/,https://www.odays.co/wp-content/uploads/2018/05/university3.jpg,university3.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university3.jpg,3065,university3,,,"Suffolk One - Open Evening",,,,,,,,,"Aberdeen City",Postgraduate|August|Scotland,University,2018-08-23,"Schoolhill Aberdeen AB10 1FR","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-08-23,1532451600,1532460600,transparent,Postgraduate,364,off,admissions@rgu.ac.uk,"+44 1224 262000",http://www.rgu.ac.uk,,,,,on,"23 Aug - Booking Info",https://www.rgu.ac.uk/study/visit-us/postgraduate-events/open-evening,3065,57.1479381,-2.1014242,200,right,off,"Schoolhill  Aberdeen AB10 1FR","57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR","Schoolhill  Aberdeen AB10 1FR",2018-08-23,2018-08-23,Scotland,"57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR",201808231700,,,,,,,,,,,,,,,,publish,7,robert-gordon-university-3,,default,0,0,closed,open
25978,"Robert Gordon University","Experience an open day at Robert Gordon University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/robert-gordon-university-4/,https://www.odays.co/wp-content/uploads/2018/05/university4.jpg,university4.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university4.jpg,3066,university4,,,"Suffolk One - Open Evening",,,,,,,,,"Aberdeen City",Postgraduate|November|Scotland,University,2018-11-29,"Schoolhill Aberdeen AB10 1FR","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-11-29,1532451600,1532460600,transparent,Postgraduate,364,off,admissions@rgu.ac.uk,"+44 1224 262000",http://www.rgu.ac.uk,,,,,on,"29 Nov - Booking Info",https://www.rgu.ac.uk/study/visit-us/postgraduate-events/open-evening,3066,57.1479381,-2.1014242,200,right,off,"Schoolhill  Aberdeen AB10 1FR","57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR","Schoolhill  Aberdeen AB10 1FR",2018-11-29,2018-11-29,Scotland,"57.1479381,-2.1014242:Schoolhill  Aberdeen AB10 1FR",201811291700,,,,,,,,,,,,,,,,publish,7,robert-gordon-university-4,,default,0,0,closed,open
25979,"University of Aberdeen","Experience an open day at The University of Aberdeen, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/university-of-aberdeen/,https://www.odays.co/wp-content/uploads/2018/05/university5.jpg,university5.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university5.jpg,3067,university5,,,"Farnham Sixth Form College - Open Evening",,,,,,,,,"Aberdeen City",Undergraduate|August|Scotland,University,2018-08-28,"King's College Aberdeen AB24 3FX","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-08-28,1532422800,1532449800,transparent,Undergraduate,364,off,helpdesk@abdn.ac.uk,"+44 1224 272000",http://www.abdn.ac.uk/,,,,,on,"28 Aug - Booking Info",https://www.abdn.ac.uk/study/postgraduate-open-days/open-day-programme-514.php,3067,57.1640029,-2.1004332,200,right,off,"King's College  Aberdeen AB24 3FX","57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX","King's College  Aberdeen AB24 3FX",2018-08-28,2018-08-28,Scotland,"57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX",201808280900,,,,,,,,,,,,,,,,publish,7,university-of-aberdeen,,default,0,0,closed,open
25980,"University of Aberdeen","Experience an open day at The University of Aberdeen, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/university-of-aberdeen-2/,https://www.odays.co/wp-content/uploads/2018/05/university6.jpg,university6.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university6.jpg,3068,university6,,,"Farnham Sixth Form College - Open Evening",,,,,,,,,"Aberdeen City",Undergraduate|October|Scotland,University,2018-10-20,"King's College Aberdeen AB24 3FX","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-10-20,1532422800,1532449800,transparent,Undergraduate,364,off,helpdesk@abdn.ac.uk,"+44 1224 272000",http://www.abdn.ac.uk/,,,,,on,"20 Oct - Booking Info",https://www.abdn.ac.uk/study/postgraduate-open-days/open-day-programme-514.php,3068,57.1640029,-2.1004332,200,right,off,"King's College  Aberdeen AB24 3FX","57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX","King's College  Aberdeen AB24 3FX",2018-10-20,2018-10-20,Scotland,"57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX",201810200900,,,,,,,,,,,,,,,,publish,7,university-of-aberdeen-2,,default,0,0,closed,open
25981,"University of Aberdeen","Experience an open day at The University of Aberdeen, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/university-of-aberdeen-3/,https://www.odays.co/wp-content/uploads/2018/05/university7.jpg,university7.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university7.jpg,3069,university7,,,"Farnham Sixth Form College - Open Evening",,,,,,,,,"Aberdeen City",Postgraduate|November|Scotland,University,2018-11-15,"King's College Aberdeen AB24 3FX","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-11-15,1532446200,1532460600,transparent,Postgraduate,364,off,helpdesk@abdn.ac.uk,"+44 1224 272000",http://www.abdn.ac.uk/,,,,,on,"15 Nov - Booking Info",https://www.abdn.ac.uk/study/postgraduate-open-days/open-day-programme-514.php,3069,57.1640029,-2.1004332,200,right,off,"King's College  Aberdeen AB24 3FX","57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX","King's College  Aberdeen AB24 3FX",2018-11-15,2018-11-15,Scotland,"57.1640029,-2.1004332:King's College  Aberdeen AB24 3FX",201811151530,,,,,,,,,,,,,,,,publish,7,university-of-aberdeen-3,,default,0,0,closed,open
25982,"Bath Spa University","Experience an open day at Bath Spa University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/bath-spa-university/,https://www.odays.co/wp-content/uploads/2018/05/university8.jpg,university8.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university8.jpg,3070,university8,,,"Farnham Sixth Form College - Open Evening",,,,,,,,,"Bath and NE Somerset","Undergraduate|October|South West England",University,2018-10-13,"Newton Park Newton St Loe BA2 9BN","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-10-13,1532422800,1532449800,transparent,Undergraduate,364,off,opendays@bathspa.ac.uk,"+44 1225 875875",http://www.bathspa.ac.uk/,,,,,on,"13 Oct - Booking Info",https://www.bathspa.ac.uk/be-bath-spa/open-days-and-visits/open-days/,3070,51.3755553,-2.4382603,200,right,off,"Newton Park  Newton St Loe BA2 9BN","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN","Newton Park  Newton St Loe BA2 9BN",2018-10-13,2018-10-13,"South West England","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN",201810130900,"2018-08-22 15:07:39",,,,,,,,,,,,,,,publish,7,bath-spa-university,,default,0,0,closed,open
25983,"Bath Spa University","Experience an open day at Bath Spa University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/bath-spa-university-2/,https://www.odays.co/wp-content/uploads/2018/05/university9.jpg,university9.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university9.jpg,3071,university9,,,"Big Creative Academy - Open evening",,,,,,,,,"Bath and NE Somerset","Undergraduate|October|South West England",University,2018-10-27,"Newton Park Newton St Loe BA2 9BN","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-10-27,1532422800,1532449800,transparent,Undergraduate,364,off,opendays@bathspa.ac.uk,"+44 1225 875875",http://www.bathspa.ac.uk/,,,,,on,"27 Oct - Booking Info",https://www.bathspa.ac.uk/be-bath-spa/open-days-and-visits/open-days/,3071,51.3755553,-2.4382603,200,right,off,"Newton Park  Newton St Loe BA2 9BN","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN","Newton Park  Newton St Loe BA2 9BN",2018-10-27,2018-10-27,"South West England","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN",201810270900,,,,,,,,,,,,,,,,publish,7,bath-spa-university-2,,default,0,0,closed,open
25984,"Bath Spa University","Experience an open day at Bath Spa University, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",,20180801,events,https://www.odays.co/events/bath-spa-university-3/,https://www.odays.co/wp-content/uploads/2018/05/university10.jpg,university10.jpg,/home/odays033/public_html/wp-content/uploads/2018/05/university10.jpg,3072,university10,,,"Big Creative Academy - Open evening",,,,,,,,,"Bath and NE Somerset","Undergraduate|November|South West England",University,2018-11-10,"Newton Park Newton St Loe BA2 9BN","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,2018-11-10,1532422800,1532449800,transparent,Undergraduate,364,off,opendays@bathspa.ac.uk,"+44 1225 875875",http://www.bathspa.ac.uk/,,,,,on,"10 Nov - Booking Info",https://www.bathspa.ac.uk/be-bath-spa/open-days-and-visits/open-days/,3072,51.3755553,-2.4382603,200,right,off,"Newton Park  Newton St Loe BA2 9BN","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN","Newton Park  Newton St Loe BA2 9BN",2018-11-10,2018-11-10,"South West England","51.3755553,-2.4382603:Newton Park  Newton St Loe BA2 9BN",201811100900,"2018-08-23 23:32:02",,,,,,,,,,,,,,,publish,7,bath-spa-university-3,,default,0,0,closed,open
